레벨,성과급,순서,역할,연봉_최대,연봉_최소,연차,총보상,평균 계약연봉
SM2 (Senior Manager 2),4900,7,중급 시니어 매니저,11760,11760,13-14년,16660,11760
SA3 (Senior Associate 3),3541.666666666667,1,선임 컨설턴트,8500,8500,5-7년,12041.666666666668,8500
M1 (Manager 1),4050,2,초급 매니저,9720,9720,7-9년,13770,9720
SM4 (Senior Manager 4),5200,9,수석 시니어 매니저,12480,12480,15-16년,17680,12480
M4 (Manager 4),4500,5,수석 매니저,10800,10800,11-12년,15300,10800
D (Director),5833.333333333334,10,이사급 (성과급 별도),15000,13000,16년+,19833.333333333336,14000
M2 (Manager 2),4200,3,중급 매니저,10080,10080,9-10년,14280,10080
SM1 (Senior Manager 1),4750,6,초급 시니어 매니저,11400,11400,12-13년,16150,11400
SM3 (Senior Manager 3),5050,8,고급 시니어 매니저,12120,12120,14-15년,17170,12120
M3 (Manager 3),4350,4,고급 매니저,10440,10440,10-11년,14790,10440